Username	User handle	Tweet	Date of posting	Text	Retweet count	Like count
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573260884365160450	Fri Sep 23 10:39:59 +0000 2022	"Court records how permission was granted in 2017 after consent of the parties. 

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	2	21
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573260827582468097	Fri Sep 23 10:39:45 +0000 2022	Satyendar Jain Case Transfer | 'Special Judge An Upright Officer But Circumstances Raise Apprehension of Probable Bias': Delhi Court @nupur_0111 https://t.co/tnGsnOj2X3	3	9
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573260578105479169	Fri Sep 23 10:38:46 +0000 2022	"Order 

Mr Sathe said that on 21st the police informed the corporation that there was a chance of a law and order situation. And the BMC rightly took this into consideration while rejecting applications. 

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	4	23
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573260265004859397	Fri Sep 23 10:37:31 +0000 2022	"Order 

In view of the past experiences and especially what happened during the Ganesh festival, Mr Sathe said the applications of both were rejected. 

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	3	18
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573259488190402560	Fri Sep 23 10:34:26 +0000 2022	"Order 

J Dhanuka - Mr Sathe submitted there is no statutory right of the petitioners to hold such a mela. He invited our attention to earlier orders passed...

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	2	16
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573258818024538113	Fri Sep 23 10:31:46 +0000 2022	"The court is now recording submissions of Sr Adv Aspi Chinoy for Anil Desai and of Sr Adv Milind Sathe for BMC on the main petition.

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	6	25
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573258419976699904	Fri Sep 23 10:30:11 +0000 2022	"Court agrees with Sr Adv Chinoy's argument that Mr Sarvankar has no locus.

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	11	30
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573258107249393664	Fri Sep 23 10:28:57 +0000 2022	"Order 

In view of the fact that application filed by the petitioners is not REJECTED on the ground that whom is the real Shiv Sena, we do not wish you go in the issue.

And Mr Sada Sarvankar's interim application is rejected.

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	4	24
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573258092586074112	Fri Sep 23 10:28:53 +0000 2022	The Bench allowed Bihar Cricket Association’s AGM to be held on 25th Sept, 2022 as scheduled. However, the Bench directed the results of the election to be placed before it in a sealed cover.	0	4
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573257731695595526	Fri Sep 23 10:27:27 +0000 2022	"Order 

In view of the fact that application filed by the petitioners is not redirected on the ground that whom is the real Shiv Sena, we do not wish you go in the issue.

And Mr Sada Sarvankar's interim application is rejected.

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	9	33
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573257076453052416	Fri Sep 23 10:24:51 +0000 2022	"Bench* 

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	1	5
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573257004025778178	Fri Sep 23 10:24:34 +0000 2022	"Branch is first dealing with the interim application filed by MLA Mr Sada Sarvankar opposing the petition. 

Records there are proceedings pending before various forums on the issue of who is the real Shiv Sena 

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	1	14
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573256597358678021	Fri Sep 23 10:22:57 +0000 2022	"Order is dictated. 

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	1	12
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573255337452634112	Fri Sep 23 10:17:56 +0000 2022	"Chinoy - This is a vase of a vested right in many ways. 

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	2	13
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573255231378690050	Fri Sep 23 10:17:31 +0000 2022	"Chinoy - Why do I have to disclose in this petition what the history is? There is lot to be said on both sides. There are forums where this will be agitated, not here. What suppression or facts are they talking about?

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	1	13
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573254753903325184	Fri Sep 23 10:15:37 +0000 2022	"Sr Adv Chinoy - The GR of 2016, was specific. It doesn't mean that someone can come, and your right can be defeated. If not a right it is a legitimate expectation . 

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	1	13
